,MSTR_IBIT_return,MSTR_IBIT_cum_return,AMAT_LRCX_return,AMAT_LRCX_cum_return,NVDA_AMD_return,NVDA_AMD_cum_return,LCID_RIVN_return,LCID_RIVN_cum_return,ENPH_SEDG_return,ENPH_SEDG_cum_return,NTES_BILI_return,NTES_BILI_cum_return,SLB_HAL_return,SLB_HAL_cum_return,LOW_HD_return,LOW_HD_cum_return,MAR_HLT_return,MAR_HLT_cum_return,BKNG_EXPE_return,BKNG_EXPE_cum_return,S_CRWD_return,S_CRWD_cum_return,active_pairs,MSTR_IBIT_weight,AMAT_LRCX_weight,NVDA_AMD_weight,LCID_RIVN_weight,ENPH_SEDG_weight,NTES_BILI_weight,SLB_HAL_weight,LOW_HD_weight,MAR_HLT_weight,BKNG_EXPE_weight,S_CRWD_weight,equal_weighted_return,equal_weighted_cum_return,inv_vol_weighted_return,inv_vol_weighted_cum_return
2024-01-31,,,0.0,1.600393183896216,-0.004603646814206802,2.003001642605156,0.0003219653599169734,1.567004210058986,0.0,2.8632345674858506,0.0,1.7521344319721461,0.01404075690669234,1.459768835711021,-0.003149305144483313,1.6391372817259582,0.0,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0006609770307919199,2.04468692704237,0.00048567428231491023,1.908058337461845
2024-02-01,,,0.0,1.600393183896216,0.0,2.003001642605156,0.0,1.567004210058986,0.0,2.8632345674858506,0.0,1.7521344319721461,-0.006165673164543735,1.4507683781742402,0.0,1.6391372817259582,0.0,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0006165673164543735,2.043426239910774,-0.0006230602099475947,1.9068695022335136
2024-02-02,,,0.0010701920468137631,1.6021059119533965,0.0007221823927385336,2.0044481751240717,0.014331624057674033,1.589461925294344,-0.008333751718987929,2.8393730814871994,0.0,1.7521344319721461,0.003155353529588347,1.4553460652969274,-0.002547872097672409,1.634960969581594,0.0,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0008397728210154339,2.045142253728801,0.0003617971499876388,1.9075594021848201
2024-02-05,,,0.0,1.6021059119533965,0.0,2.0044481751240717,0.0,1.589461925294344,-0.002312779575377566,2.8328062374174587,0.0,1.7521344319721461,0.0017073614326418942,1.4578308670399627,0.0,1.634960969581594,0.0,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-6.0541814273567195e-05,2.0450184371063127,4.0833350517182845e-05,1.9076372942265216
2024-02-06,,,0.0,1.6021059119533965,-0.019663335981269875,1.9650340371995638,0.0,1.589461925294344,0.0,2.8328062374174587,0.0,1.7521344319721461,0.0,1.4578308670399627,0.0,1.634960969581594,0.0,2.0659066892317637,0.002436110786246505,1.5093369485462769,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0017227225195023369,2.0414954377919123,-0.0014906332139122134,1.90479370671565
2024-02-07,,,0.0,1.6021059119533965,0.0,1.9650340371995638,0.006582703896087909,1.5999248825026626,0.0,2.8328062374174587,0.0,1.7521344319721461,0.0,1.4578308670399627,0.0,1.634960969581594,0.0,2.0659066892317637,0.0,1.5093369485462769,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.000658270389608791,2.042839293789132,0.00033930724504988583,1.905440017020664
2024-02-08,,,0.0,1.6021059119533965,0.0,1.9650340371995638,0.0,1.5999248825026626,-0.002578081921059433,2.8255030308709084,0.0,1.7521344319721461,0.0,1.4578308670399627,0.0,1.634960969581594,0.0,2.0659066892317637,-0.005925261394347476,1.5003937325939933,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0008503343315406909,2.0411021974038026,-0.0007728089324060285,1.9039674759553464
2024-02-09,,,0.0,1.6021059119533965,0.0015320265265316095,1.9680445214700908,0.007874987732993563,1.6125242713260823,0.005427558434864721,2.8408386136788475,0.0,1.7521344319721461,0.0009352252300462069,1.4591942672479588,0.0,1.634960969581594,-0.0030938423416936533,2.0595150996426304,0.0005977412207926849,1.5012905797753837,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0013273696803535132,2.0438114945751393,0.0006043764674921822,1.9051181890926843
2024-02-12,,,-0.0018119791475204145,1.5992029294488177,0.0,1.9680445214700908,0.0,1.6125242713260823,0.0,2.8408386136788475,0.0,1.7521344319721461,0.0,1.4591942672479588,-0.01714434545702464,1.6069306339103353,0.0,2.0595150996426304,0.0053194341424665816,1.5092765961432042,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.001363689046207847,2.0410243712274734,-0.0026377464766326616,1.9000929703018363
2024-02-13,,,0.0,1.5992029294488177,0.0,1.9680445214700908,0.0,1.6125242713260823,0.0216449335463857,2.9023283766879326,0.0,1.7521344319721461,-0.0002877983640523357,1.4587743135250102,-0.004788426939790501,1.5992359639725444,0.0,2.0595150996426304,0.0,1.5092765961432042,0.01776551909411654,2.5210492768348827,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0034334227336659407,2.048032070703612,0.001599373437701323,1.9031319285277002
